bounty,fav
280,9
1000,10
500,15
200,9
750,19
300,21
100,10
500,4
512,14
150,7
150,13
500,13
1500,26
100,1
750,7
500,4
50,10
1000,13
200,4
150,10
280,3
100,3
150,5
25,6
400,6
750,4
100,7
100,8
75,6
100,8
150,3
80,8
200,1
250,15
500,15
500,37
250,7
750,11
8000,32
140,7
100,15
300,12
2500,16
1000,12
